comment,date,support_number,user,hateful
活该！,今天 18:40 来自网页,849,我在天涯啊,0
这几个男的是真的不要脸,今天 18:42 来自网页,554,敷尔佳吖-,0
这特么性骚扰，什么调笑,今天 18:42 来自网页,568,Icelandkid,0
垃圾,2分钟前 来自网页    ,0,ZWC669825,0
垃圾！,8分钟前 来自网页    ,0,斧砸锹凿不能移,0
活该,14分钟前 来自网页    ,0,一个人和一个ta,0
怎么调解的 内容。如果女的要赔钱就不合适了,22分钟前 来自网页    ,0,愤怒的小轩,0
不尊重他人，扎死不承担责任才最美，要是别人那样侮辱她妈他会怎么样,23分钟前 来自网页    ,0,改行做农民,0
这女的也太不对了，真是的，怎么能戳头部呢，应该戳吊部,23分钟前 来自网页    ,0,照镜子看不到自己,0
活该,23分钟前 来自网页    ,0,徐伟伟宅家,0
“熟识”两字很传神呀,25分钟前 来自网页    ,0,我叫林嘉沐,0
恶臭,27分钟前 来自网页    ,0,bdjijfgkdh9,0
这属于性骚扰吧,29分钟前 来自网页    ,0,林襄07,0
活该,29分钟前 来自网页    ,0,Alia0603,0
？脾气真好 dei亏不是碰到我,30分钟前 来自网页    ,0,是婧婧不是静静a,0
哈哈哈哈 我以前的舍友就这种屌丝，,32分钟前 来自网页    ,0,y5000000,0
活该,36分钟前 来自网页    ,0,rtueodpslvcw,0
该啊,38分钟前 来自网页    ,0,匆忙的遗憾,0
该，这下老实了,39分钟前 来自网页    ,0,心藏有你445,0
嗯，活该,39分钟前 来自网页    ,0,相伴在艺祺F,0
寻衅滋事,41分钟前 来自网页    ,0,From_One_To_Nine,0
那个男的，就破了个皮就倒在地上不能动了，应该是死了吧,41分钟前 来自网页    ,0,花田月下一只汪,0
妈的真的是看着就生气😡换一个胆子小一点的小姐姐是不是该被欺负死？？,41分钟前 来自网页    ,0,smil2lym,0
活该！,42分钟前 来自网页    ,0,大老猫驾到,0
耍流氓,44分钟前 来自网页    ,0,林海野生菌,0
这个世界真是这样。有时候真希望没有法律，没有王法。很多本分老实的人，是被逼才做出反击。但是一旦反击成功，把为恶者弄出问题来了，自己又要受法律的折磨…。,45分钟前 来自网页    ,1,永爱娴,0
该死。,46分钟前 来自网页    ,0,解语者007,0
上次看到这个新闻标题还是“店员和保安”现在强调尼玛的熟识,46分钟前 来自网页    ,0,无端惹落雪满身,0
赔个屁，这也赔？,46分钟前 来自网页    ,0,夕兮奈,0
怎么没扎死他,48分钟前 来自网页    ,0,苏撷,0
？这明明是性骚扰好吧？小姐姐正当行为,49分钟前 来自网页    ,0,鹤颸邈Turbo,0
能不能？关注--下我的博文？,51分钟前 来自网页    ,0,迟仁华实名举报人我是反腐的雄鹰,0
这不是找抽么,53分钟前 来自网页    ,0,喷子长脑子了么,0
贱,54分钟前 来自网页    ,0,御弟哥哥-呢,0
要是那个姑娘需要众筹请律师，我第一个捐款,56分钟前 来自网页    ,0,茹小懒krystal,0
……骂回去……,56分钟前 来自网页    ,0,jewelsweet,0
真贱！,今天 20:23 来自网页    ,0,UN那谁谁,0
活该！！,今天 20:22 来自网页    ,0,大宝的sunshine,0
男人开侮辱女人的玩笑本来就是对自己母亲和姐妹的侮辱,今天 20:21 来自网页    ,0,阅读是一座孤岛,0
 这是有病吧,今天 20:18 来自网页    ,0,sunshine923_,0
咋不戳死他呢,今天 20:18 来自网页    ,0,想回到过去看蓝天,0
该，让你嘴欠,今天 20:17 来自网页    ,0,无一物-3,0
活該,今天 20:16 来自网页    ,0,NanCHong小蜜,0
 太气了 你说要是我碰到这种人该怎么办,今天 20:15 来自网页    ,0,和小黄做个伴吧,0
侮辱妇女也是一项罪名,今天 20:15 来自网页    ,0,取个名字最闪亮,0
活该活该,今天 20:14 来自网页    ,0,老鹰75452,0
不要脸！破皮出血 无大碍  居然好意思倒地不起！,今天 20:13 来自网页    ,0,#NAME?,0
活该牛逼就该这样做,今天 20:11 来自网页    ,0,朱朱YL,0
死了最好！,今天 20:11 来自网页    ,0,原来是杨家姑娘,0
没出息，这是八辈子没看见过女人了，不值得搭理的女人就不要去骚扰，学学我都是搭讪帅哥。多漂亮的女人在本少爷面前都不会引起我的注意，除非是帅哥马上引起我好奇。,今天 20:10 来自网页    ,0,基哥de鹰眼,0
往脖子上扎,今天 20:09 来自网页    ,0,11你是8,0
这俩笑的真贱，活了给该,今天 20:08 来自网页    ,0,Cheny1010,0
神他妈熟识,今天 20:08 来自网页    ,0,止痛药-_-,0
邓玉娇,今天 20:07 来自网页    ,0,11你是8,0
 那么双方和解了，可这种性骚扰不是违法吗？不应该处理吗？,今天 20:06 来自网页    ,0,老米之扬,0
骚骚的小李飞刀,今天 20:03 来自网页    ,0,我喜欢买菜车,0
死流氓,今天 20:03 来自网页    ,0,卷卷猪小昌,0
干的漂亮！,今天 20:02 来自网页    ,0,薄荷柠檬我,0
这难道不算性骚扰吗？,今天 20:01 来自网页    ,0,三石非石,0
警察都是做调解工作的,今天 20:00 来自网页    ,0,orangejuiceyy,0
真他妈活该,今天 19:58 来自网页    ,0,ff闪闪,0
傻閪,今天 19:57 来自网页    ,0,TLd黄郁金,0
巾帼英雄,今天 19:57 来自网页    ,0,悟空可是个神仙,0
上次哪里看是死了？,今天 19:56 来自网页    ,0,偶尔着迷,0
都是成年人，这明摆着就是性骚扰，还调笑，这种男生就是欠打，还达成调解，这难道不应该拘留吗？微信群里骂人的都抓起来了，这还不抓，执法者的尺度范围真的是能紧能松。,今天 19:56 来自网页    ,0,姚晨鑫1219,0
活该！,今天 19:55 来自网页    ,0,HELLO-CHINA车友会,0
哈哈哈哈,今天 19:54 来自网页    ,0,--沉思无语--,0
三名男子难道肆意调戏侮辱女店员，是不是寻衅滋事？,今天 19:54 来自网页    ,0,大空头001,0
调笑？是不是有什么误解？任由他发展下去，不知道会发生什么事,今天 19:54 来自网页    ,0,YYH5672,0
真不要脸，我国女性真难,今天 19:53 来自网页    ,0,小西几_YU宝宝,0
和稀泥,今天 19:52 来自网页    ,1,shaonanQ,0
没死可惜了,今天 19:51 来自网页    ,1,拂晓辰光CR,0
活该！砸的好！,今天 19:51 来自网页    ,0,AzaleaR_,0
呵呵，真的是不要脸啊，还击的对,今天 19:50 来自网页    ,0,阡陌时光f,0
恶臭，这是人吗?蛆吧,今天 19:50 来自网页    ,0,要叫就叫奇怪的名字,1
性骚扰不应以调解和稀泥！,今天 19:50 来自网页    ,0,叽叽叽叽啾啾咪,0
杀鸡儆猴，看他们敢，就怕不要命的。,今天 19:49 来自网页    ,0,樱木小飞,0
活该,今天 19:48 来自网页    ,0,倪妮0825,0
姑娘们，学着点,今天 19:48 来自网页    ,0,丸子哎oO,0
警方和稀泥,今天 19:48 来自网页    ,1,潇湘夜雨999999,0
活该,今天 19:46 来自网页    ,0,小鱿鱼爱吃鱼喵,0
活该，没打死是命大,今天 19:44 来自网页    ,0,长颈鹿鹿鹿ovo,0
请各位法官不要再带节奏了，这不算性骚扰，男方挑衅女方动手了，调解是对女方最好的结果，质疑的不服的建议改写法律，别在这质疑警方。,今天 19:44 来自网页    ,0,Nameless-233,0
飞✂️ 挺准的咩,今天 19:44 来自网页    ,1,marry_kiy,0
又他妈调解,今天 19:43 来自网页    ,0,发粪涂墙wrlcgd01,0
