comment,date,support_number,user
这次是实锤！新华社官方拿到了当天的监控录像，证明孙杨完全配合检查，对方检测人员承认自己检测不合规，并签署了协议，根本没有所谓暴力抗检，事后却造谣孙杨，害孙杨被疯狗追着咬了一年多，身心遭受严重摧残。还孙杨清白！,今天 08:55 来自网页,11097,每条评论都在为置顶拉人气_
一个有证的人，自己找几个人就可以进行飞行尿检。这就是所谓“兴奋剂”检测机构的潜规则！规则适用于所有人，並不是只要求一部分！WADA和IDTM要求运动员守规则，而他们却置身规则之外，他们完全抹杀了公平，公正，公开的奥林匹克体育精神！,今天 08:55 来自网页,3915,王子的小玫瑰哦
目前为止 wada方提供0证据，一味的拉几个泼妇运动员来骂街。孙杨全部是石锤,今天 09:02 来自网页,3192,nifghg
这下，证据确凿了吧,3分钟前 来自网页    ,0,自种天然
我还以为在澳洲发生的事情，想不到是在我们国家的杭州，谁给了他们勇气，他们冒充，难道不犯法吗？,6分钟前 来自网页    ,0,烟雨朦兮花儿开
坐等后续！,6分钟前 来自网页    ,0,安同学的日记本
原本就明明白白事  靠撒泼撕咬大白杨一年很开心吗,7分钟前 来自网页    ,0,冯小豆的好运鸭
我去，这是在中国，在杭州，谁给了他们勇气。应该报警，太坏了他们,7分钟前 来自网页    ,0,烟雨朦兮花儿开
豪宅,7分钟前 来自网页    ,0,qx7Wait7for7me
转发微博,8分钟前 来自网页    ,0,两极世界HK068
禁赛好几个月,8分钟前 来自网页    ,0,毛利兰2019
"只知道他""误服""过万爽力曲美它嗪一次",8分钟前 来自网页    ,0,毛利兰2019
这根本就是在消耗你的精力和干扰训练的伎俩,9分钟前 来自网页    ,0,雀步
那两个想看一眼的可别是粉丝吧,10分钟前 来自网页    ,0,yuyuwherer游
我去，在中国，在杭州。他们是谁？,10分钟前 来自网页    ,0,烟雨朦兮花儿开
一年了，终于看到了视频！证据确凿，当初污蔑他的人能出来道个歉吗？！大白杨太惨了！,12分钟前 来自网页    ,0,仙蕙毓秀
他家好大,12分钟前 来自网页    ,0,从没听过演唱会
豪宅,14分钟前 来自网页    ,0,悟慕玮喂威恩耶吞温威乌温欧萨思
程序不合法你怎么保证结果合法？,15分钟前 来自网页    ,0,ForeverJYZ
