comment,date,support_number,user,hateful
建议在罗伯工作牺牲的地方设立罗伯纪念雕塑，以警示香港后人，远离暴力，法制香港,11月23日 13:05 来自网页,24483,格物致知gwzz,0
以德报怨何以报德？,11月22日 18:38 来自网页,8838,NONOsMIBAO,0
说句题外的 罗伯儿子哪里有点像马云,11月22日 17:58 来自网页,5766,公鸡顶呱呱,0
学艺不精香港愤青，不请自来香港废柴,今天 06:53 来自网页    ,0,薄樱清海,0
同样的新闻，环球网和新京报发出来的就完全不一样，新京报特意删除了罗伯儿子说的最重要的一句话：我父亲不是管闲事，国家的事、香港的事，没有闲事。 ,11月26日 21:10 来自网页    ,2,首席颜控官儿,0
看着他直直得倒下去，觉得有些不配是香港人的“中国人”不配为人,11月26日 09:12 来自网页    ,0,liyifeng0626,0
抓住肯发又会保释，有什么用呢,11月26日 03:13 来自网页    ,1,郝九1,0
愿死者安息,11月25日 23:54 来自网页    ,1,珍兮a,0
罗伯要是知道了选举的结果……,11月25日 20:04 来自网页    ,0,贫僧VS红烧肉,0
止暴治乱,11月25日 19:16 来自网页    ,1,大侠东方亚,0
希望不要再发生罗伯这样的事。,11月25日 18:04 来自网页    ,1,徐氏家族666,0
选举说明香港黄尸占大多数，市民受损纯属活该，只希望为少数爱国人士提供逃离香港的途径就好,11月25日 15:49 来自网页    ,1,影照翩跹,0
虽然不愿意说，但新的立法委控制下，很难昭雪了...,11月25日 15:04 来自网页    ,1,人间正道青山不老,0
就非得闹出人命。,11月25日 08:26 来自网页    ,1,进击的DE霖HERO,0
看到这些有关香港的新闻，特别难过，同在中国的庇护之下，大家应该同济互助，让中国变得更加富强，但现在自己人却开始对自己人暴力，真的特别难过，都是黑头发黄皮肤，为何成为了今天的局面，我们……可都是中国人啊。,11月25日 02:31 来自网页    ,2,shrugoff,0
3A,11月24日 21:48 来自网页    ,0,自在居粉,0
新京报你们又节选罗伯儿子的对话？ 新京报你们全体都喜欢吃洋肠？,11月24日 21:27 来自网页    ,2,胖达小EE,0
黑衣不叫暴徒？叫示威者？他说的最重要一句话你们给删除了？,11月24日 20:33 来自网页    ,1,尹壮1984,0
为什么70岁了还在做清洁工呢，可怜的老人家。,11月24日 20:31 来自网页    ,0,李雨琴ing,0
同样的新闻，环球网和新京报发出来的就完全不一样，新京报特意删除了罗伯儿子说的最重要的一句话：我父亲不是管闲事，国家的事、香港的事，没有闲事。 ,11月24日 20:26 来自网页    ,2,鱼乐行213,0
罗伯一路走好,11月24日 18:48 来自网页    ,1,野旋旋,0
有素质的受害者家属何其多，为什么最奇葩的偏偏是戏精一人？,11月24日 15:47 来自网页    ,1,农夫遇到蛇后记,0
哇 我真的是服了 我们湖南人天天都在说自己说的塑料普通话 这是表示喜欢我们湖南人说塑普的感觉 我这一句自侃的话被你理解成什么样了？？？？是我忘记加狗头了吗？？？？,11月24日 15:25 来自网页    ,0,MSKyoho,0
怪自己没本事不能阻止这种事情,11月24日 15:05 来自网页    ,1,想要两个愿望,0
香港法律呢？？军队呢？,11月24日 14:42 来自网页    ,1,妳的美颜,0
香港每一个暴徒每一个袖手旁观的人都是凶手，这片雪崩没有一片雪花无辜,11月24日 13:59 来自网页    ,0,mio家然溪,0
不得是非，黑白颠倒，香港就是人间地狱,11月24日 13:39 来自网页    ,1,学须静心要正,0
罗伯的牺牲难道还换不醒你们这群暴徒的良心吗,11月24日 11:24 来自网页    ,1,郭日娜36541,0
看到这新闻，我简直不敢去点开，怕会忍不住哭，希望香港能恢复以往的平静，能尽快地恢复元气，希望老人家能安息，家人可以尽快走出悲伤，中国有香港才完整，香港有中国才能更强更壮,11月24日 11:02 来自网页    ,1,灏灏个妈咪,0
希望罗伯一路走好，天堂没有暴乱。彻查凶手，还他们一个公道！,11月24日 10:56 来自网页    ,0,爱生活爱旅行99,0
一路走好，此生无悔入华夏，来世还生种花家！,11月24日 10:32 来自网页    ,1,风乱雨Han,0
请求明查严惩！还罗伯一个公道🙏,11月24日 10:18 来自网页    ,2,#NAME?,0
凶手找到了吗,11月24日 09:40 来自网页    ,0,浅绘夏冰颜50069,0
走程序还是直接打,11月24日 09:22 来自网页    ,0,安陵容的杏仁蜜,0
先端了在港的cia,11月24日 08:58 来自网页    ,1,研途coeo,0
暴徒可恨,11月24日 08:44 来自网页    ,1,水上情书201908,0
场面话而已,11月24日 07:56 来自网页    ,1,爱生活的蓂曦,0
暴徒还命～,11月24日 07:56 来自网页    ,2,狮子爱上驯兽师,0
这年轻人，我x，太牛逼了,11月24日 05:49 来自网页    ,1,刘跃飞v,0
真的觉得是一群没脑子的年轻人破坏了原本应该安享晚年的那些人的宁静生活…,11月24日 03:46 来自网页    ,0,世界上最爱耽美的控控,0
要是在我们这边，这样的凶手躲不过48小时,11月24日 03:33 来自网页    ,1,Mr_Mufan,0
必须捉拿归案，不能让他们逃避法律的制裁！！！,11月24日 01:20 来自网页    ,2,港毒必亡,0
让香港暴乱快点过去吧 别让无辜之人受伤害,11月24日 01:17 来自网页    ,0,東Liss,0
心痛,11月24日 01:12 来自网页    ,1,老汪特诺夫斯基,0
香港要和平!,11月24日 01:08 来自网页    ,0,巴巴拉林,0
这个弟弟一点难过的感觉都没有，还在笑，我也是醉了,11月24日 01:05 来自网页    ,0,nancy9443,0
必须血债血偿,11月24日 00:56 来自网页    ,1,三溪映月光,0
我是15年去的香港，明显能感觉出大多数香港人对内地人的不耐烦，香港还是没有全民觉醒，大多数还是冷漠的甚至不分是非的，再这样作下去，买单的是整个香港，为那位在荃湾给我热心指路的老奶奶祈祷，希望香港人人都能像她一样真正把我们当一家人，共享祖国带给我们的和平安逸的生活,11月24日 00:45 来自网页    ,0,胖兮福之所倚,0
所以香港人是在追求香港法制，人权吗？看着就知道了。,11月24日 00:36 来自网页    ,1,ANTI-HERO53724,0
看到那么多无辜的市民受伤，真的于心不忍，要是我，我让那些无辜的市民安排在大陆，工作住处全部安排妥当，之后的香港嘛，这群年轻人还是老年人所谓的正义嘛，来来来，灭城我都干的出来！,11月24日 00:24 来自网页    ,1,随何安欲,0
伤害这么多无辜的人  废青行为必须得到法律的制裁！,11月24日 00:14 来自网页    ,0,长裙飘飘飘啊飘,0
优秀，看着这个年轻人就有教养，父亲教育的好,11月24日 00:13 来自网页    ,0,丫头可能疯了,0
这些废青丧心病狂 ！,11月24日 00:12 来自网页    ,0,长裙飘飘飘啊飘,0
就这么随便杀人无法无天？,11月23日 23:53 来自网页    ,0,我怎么每天都这么难过,0
我求求政府了，以暴制暴吧在不反击他们只会越来越狂妄，都已经失控了,11月23日 23:52 来自网页    ,1,小鱼小鱼不吐泡,0
照这么说，带个口罩穿个黑衣服就可以随便上街砍人了，反正杀人也不会被逮，逮了大不了花几千块钱保释，哪里还有法治呢？,11月23日 23:33 来自网页    ,1,喵总的小粉丝,0
看了视频片段，他在两边互扔石头中间拍摄，站位站得不好,11月23日 23:31 来自网页    ,1,昆明房地产大全,0
愿罗伯在天堂安好🙏香港废青滚出中国,11月23日 23:30 来自网页    ,0,叶忻辞i源,0
唉:-(,11月23日 23:28 来自网页    ,1,o青o椒o,0
妈的，都死人了这不算恐怖袭击？如果不把这些吊毛镇压下去，我想罗大伯死都不会瞑目的。尽快把这种事情解决了吧，不要再有像罗大伯这样的事情再发生了。,11月23日 23:25 来自网页    ,1,Rventric-H,1
一路走好，愿天堂没有暴动,11月23日 23:23 来自网页    ,1,SC思成教育网,0
我就想问那些还是人吗！！！！老人都不放过！！！！就算他们自己独立了，建了一个国家，可想而知，这个国家存在的时间也不会太久！！！！,11月23日 23:22 来自网页    ,0,hh寒011,0
一个70岁老人，本应颐养天年，享享清福，却离开内地家人在香港做清洁工丧命，太可怜了，罗伯一路走好！,11月23日 23:13 来自网页    ,1,宋其岩律师--山东,0
愿尽快缉拿凶手，给罗伯一个交代,11月23日 23:05 来自网页    ,0,起来I不愿做奴隶的兔子,0
欺负中国同胞，不能忍，支持枪毙 ！,11月23日 22:54 来自网页    ,2,qqwwaa56642,0
长得还挺像马云,11月23日 22:53 来自网页    ,0,Stone_SoSo,0
我心疼这位老人家。不知道说什么好！,11月23日 22:43 来自网页    ,0,黄婉珊39196,0
希望香港早日恢复安定  中国的香港🙏,11月23日 22:43 来自网页    ,0,今天洗头了没有,0
大陆游客在香港被残忍私刑，好像说这个话题不让发，为什么香港人被打杀会大肆报道，内地人被打杀不报道？,11月23日 22:42 来自网页    ,0,2019计划瘦成一道闪电,0
看到香港真是火大,11月23日 22:42 来自网页    ,1,李光洙的小弟,0
真是天佑中华，罗伯走好!你完成了一个不可能任务。,11月23日 22:40 来自网页    ,0,妈妈的菜园子,0
这个伯伯家人看得出很有教养，大方得体！希望暴徒们有一天觉悟时不会这么后悔，罪孽深重,11月23日 22:38 来自网页    ,0,Elco小日子乱的放肆,0
他儿子说的话真的好，有其父必有其子，都怀着爱国之心，为他们点赞👍,11月23日 22:31 来自网页    ,0,哚哚的小花,0
没骨气你爸养你真是白养了 血债要用血来偿,11月23日 22:26 来自网页    ,1,spy300无所谓,0
严惩暴徒,11月23日 22:26 来自网页    ,0,平淡是福0909,0
老伯一路走好！我还是希望以暴制暴  全部关押  无期徒刑,11月23日 22:03 来自网页    ,1,阿郑Ai,0
凶手赶紧绳之于法吧,11月23日 21:54 来自网页    ,0,Hannahchan006,0
好心痛。。早点平复这一切吧,11月23日 21:53 来自网页    ,0,Hannahchan006,0
看多少遍便哭了多少遍的我，简直不能想象你们是怎样的狠心才会扔下砖块，让一个人瞬间死亡！让一个家庭瞬间破碎！,11月23日 21:52 来自网页    ,0,Hannahchan006,0
暴徒们，你们配做人吗？？你们没有父母的吗？？你们简直没有同理心！！你们的父母就是这样教育你们的？？可悲！！真是在浪费香港的教育资源！！出来危害无辜百姓！！和社会！！你们枉顾法律！报应不是不报，而是时候未到！！,11月23日 21:51 来自网页    ,0,Hannahchan006,0
真的好寒心啊这种事,11月23日 21:49 来自网页    ,0,Hannahchan006,0
好像很有道理的亚子，香港作为亚洲金融中心之一，是自由资本的天堂，对于中国的资本市场而言，香港就是资本进出的港口，如果香港不稳定，美国就会借机把数万亿的资本从香港赶跑，这些资本去哪里呢，那就去美国，这才是美国人插手香港事务的根本目的，既能刺激美国国内资本市场，又可以遏制中国。,11月23日 21:48 来自网页    ,0,红烧牛肉粉0591,0
能不能别管什么国际舆论，日后收复台湾之类的了，快点出手救救香港爱国的人了。我好多朋友内地移居香港的，都被打了。门都不敢出，能不能别让香港是中国的这几个字变成催命符。保障下其他几百万人的安全吧,11月23日 21:42 来自网页    ,1,MrAnthony威廉,0
“他不是在管闲事”，罗伯走好，暴徒早日缉拿归案，香港早点恢复繁荣吧,11月23日 21:36 来自网页    ,0,甜甜的鱼虫虫,0
罗伯一家是大陆移民的吧,11月23日 21:34 来自网页    ,0,Chakkwan_Sum-Chanter,0
普通话那么好？,11月23日 21:23 来自网页    ,1,薄薄薄薄荷哥哥,0
以德报德   以怨报怨  杀人偿命 天经地义,11月23日 21:17 来自网页    ,1,来自猩猩De你_46079,0
那个凶手抓到必须死刑,11月23日 21:04 来自网页    ,0,真的是静静,0
暴徒已经是杀人犯了，抓到直接枪毙,11月23日 21:01 来自网页    ,1,小赞今晚可以吗,0
希望香港早日恢复秩序,11月23日 20:56 来自网页    ,0,甜茶西西,0
越南猴子滚出中国,11月23日 20:50 来自网页    ,1,木子如月aj,1
请暴徒清醒，别再伤及无辜！,11月23日 20:45 来自网页    ,0,Trina沉迷学习_,0
所以还没有抓到凶手么？,11月23日 20:39 来自网页    ,1,天舞玉轮,0
 暴徒就是暴徒，不绳之以法，不会有安宁和发展！不绳之以法，即使保下了香港，有了些许发展，但大多都不爱国爱家，又有何用？？？让他们看看没有国，将是什么下场！叙利亚、伊拉克、阿富汗等颜色革命地，就是榜样！香港人难道看不到吗？！ ,11月23日 20:38 来自网页    ,1,与狼共舞0108,0
上海人吗？,11月23日 20:36 来自网页    ,1,Hi刘大可,0
像上海人,11月23日 20:35 来自网页    ,0,Hi刘大可,0
这就是为了民主和自由而奋斗，真可怕。,11月23日 20:34 来自网页    ,1,万事一句呵呵哒,0
已经有人命发生了？还不采取点强制措施控制一下🐴？,11月23日 20:33 来自网页    ,1,吃货憨憨泽,0
愿早日找到凶手,11月23日 20:33 来自网页    ,0,4729遇见18,0
罗伯儿子普通话挺标准的,11月23日 20:33 来自网页    ,0,着急小姐姐,0
请大家微博搜一下大陆游客在香港被残忍私刑的消息，看完就回知道香港真他么是个恶臭无比的辣鸡地方,11月23日 20:32 来自网页    ,0,Cheung-Nieh,0
一路走好,11月23日 20:31 来自网页    ,0,OctBarbed,0
我一辈子都会憎恨那些人 伯伯走好,11月23日 20:30 来自网页    ,0,广岛啊晶,0
请烧死那个废青,11月23日 20:29 来自网页    ,0,Emily许丽曼,0
希望那些街头流氓暴力的孩子的家长不要让孩子们去破坏香港和杀人放火，因为你们是人，不是野兽,11月23日 20:28 来自网页    ,1,阿东时事漫画株洲创意主持人,0
真的是披着人皮的野兽，黑衣服黑口罩真的是兽皮,11月23日 20:26 来自网页    ,0,1314菈,0
辣鸡们没法沟通//,11月23日 20:25 来自网页    ,3,无忧梦愿,0
一家子都是三观正，有情怀的人！,11月23日 20:25 来自网页    ,1,主持韩璐,0
首先他们讲普通话 就很赞,11月23日 20:25 来自网页    ,0,DKS-百事可爱,0
杀人凶手抓到了吗？,11月23日 20:24 来自网页    ,1,鸽子鸽子会飞的鸽子,0
中国万岁！🇨🇳 🇨🇳 🇨🇳 🇨🇳 🇨🇳 🇨🇳 🇨🇳,11月23日 20:22 来自网页    ,0,吴青峰壁纸,0
第一次听到香港人这么标准的普通话,11月23日 20:21 来自网页    ,1,王小王Abby,0
三观很正了,11月23日 20:20 来自网页    ,0,大白牙儿,0
其实有很多独立的老人 不是每个人都需要靠儿女来活,11月23日 20:20 来自网页    ,0,Amohh_,0
杀人魔偿命好吗,11月23日 20:20 来自网页    ,0,垂涎天平,0
现在是正式上升到杀人了  请求重判,11月23日 20:18 来自网页    ,0,gone花漂亮,0
还没抓起来吗,11月23日 20:17 来自网页    ,0,秦帅呀,0
不是通过禁止蒙面法了吗，为什么还有人带口罩,11月23日 20:17 来自网页    ,0,师师的发卡,0
说的真好！有大爱,11月23日 20:15 来自网页    ,0,李现的迷妹子11,0
希望这是结束,11月23日 20:14 来自网页    ,1,宇宙无敌超级大大大大帅比,0
 香港罗伯的儿子有点像陈书记，说话也有点像,11月23日 20:12 来自网页    ,0,热血Rejana,0
希望他的家人可以平安健康,11月23日 20:12 来自网页    ,0,阿哈哈少女,0
是没有父母还是怎么的 从石头里蹦出来的？,11月23日 20:11 来自网页    ,0,李的女友_,0
不幸的牺牲者！希望香港别在继续这样下去了。,11月23日 20:10 来自网页    ,0,黄小懿懿,0
香港暴徒滚出中国领土,11月23日 20:08 来自网页    ,0,柔眸如梦亦如妆1214,0
七十岁的老人啦你还让他工作，你尽到一个做子女的责任了吗,11月23日 20:04 来自网页    ,0,张彬彬的大宝贝,0
故意杀人,11月23日 20:03 来自网页    ,0,袁溜溜6,0
怎么感觉有点像马云,11月23日 20:02 来自网页    ,0,夏哥哥Polo,0
都不是闲事,11月23日 20:01 来自网页    ,0,你就是我手心里的大宝,0
以德报怨 以德报德,11月23日 19:59 来自网页    ,0,ayangqian,0
请公正，请结束，请和平,11月23日 19:56 来自网页    ,0,fx小怪,0
严惩凶手,11月23日 19:52 来自网页    ,1,鲅鱼的人,0
希望尽快破案抓住凶手绳之以法！,11月23日 19:52 来自网页    ,1,Superme-577,0
建议直接枪毙，斩草不除根,11月23日 19:47 来自网页    ,1,Sylar0422,0
看儿子，弟弟的谈吐，就知道这个伯伯是很好的人,11月23日 19:45 来自网页    ,1,点点and昊昊,0
杀父之仇，不共戴天，别特么在这喊口号了，香港已经这样了，你们真的能忍住。,11月23日 19:45 来自网页    ,1,放下你的痞子,0
希望尽快缉拿凶手，还罗伯一个公道,11月23日 19:44 来自网页    ,1,原来是嘉慧啊嘉慧,0
以德报怨何以报德？,11月23日 19:44 来自网页    ,2,静云56607,0
他没有带口罩，大大方方的站出来，真的很勇敢，敬佩。,11月23日 19:37 来自网页    ,0,爱打羽毛球的小圆圆,0
罗伯把孩子教育得很好,11月23日 19:36 来自网页    ,0,树上的考拉爱睡觉,0
太难过了。真的难以想象家人看见这一幕的心情，真的受不了。。请一定安息，一路走好。,11月23日 19:33 来自网页    ,0,ayu习习,0
内地人的新闻呢？？？,11月23日 19:32 来自网页    ,1,卟良人3,0
太疼了,11月23日 19:29 来自网页    ,0,雨田禾乃君羊,0
死人了居然太可怕了,11月23日 19:28 来自网页    ,0,雨田禾乃君羊,0
这样的情势下，敢于公开露脸说出这样的话的人都是充满勇气的,11月23日 19:26 来自网页    ,0,何宝荣的花,0
“他沒有破壞一磚一瓦，沒有阻礙行人，沒有喊過一句口號，只因為要完成謙卑的道路清潔工作，在暴徒的磚頭下喪了命。” 羅伯，回家吧。九龍新界香港島，不論何處，都是你的家。 對不起，我沒有在現場。 死者為大，願地母永安你的魂靈。 羅伯，收工了，回家吧。748萬人等著你呢。,11月23日 19:25 来自网页    ,1,矢澤妮可想戒煙,0
砖头上不是有指纹吗？还没找到凶手？,11月23日 19:25 来自网页    ,0,安酒m,0
血债血偿,11月23日 19:25 来自网页    ,1,天真有邪喵了个喵,0
现在的香港缺少王震那样的将军,11月23日 19:22 来自网页    ,1,行尸走肉的洋洋,0
好像马云,11月23日 19:20 来自网页    ,1,Jonson_,0
罗爷爷儿子的思想境界谈吐不一般，可见罗伯的家教多么好。罗爷爷一路走好 ，你是英雄！,11月23日 19:20 来自网页    ,0,心语1995L,0
他儿子三观好正,11月23日 19:19 来自网页    ,0,清扬婉兮丶Emily,0
内地人在香港被曱甴爆头,11月23日 19:17 来自网页    ,1,波波80310,1
很有素质和教养的一家人,11月23日 19:14 来自网页    ,0,莉莉莉林,0
一路走好！,11月23日 19:12 来自网页    ,0,鱼巷·猫归,0
亡者何辜,11月23日 19:11 来自网页    ,0,nnnothinggg,0
一路走好,11月23日 19:10 来自网页    ,1,彼岸花8803,0
如果杀人都不需要附上法律责任 那么何以平天下,11月23日 19:10 来自网页    ,0,暖暖errR,0
说实话，爱国主义教育从小被不断输入到我们的思想中，坚持一国两制，推进国家统一这样的话一直影响着一代又一代人，只有人民大团结我们才能一致对外。以前对香港这个特别行政区，心里也是把它看成是自己人，引以为傲，对香港人莫名向往的，然而,11月23日 19:09 来自网页    ,0,芽芽不发苞苞,0
马爸爸？,11月23日 19:08 来自网页    ,1,啊哈我晗,0
说的好，国家的事香港的事没有闲事,11月23日 19:07 来自网页    ,1,CHERISH06817,0
感觉像背的台词,11月23日 19:07 来自网页    ,0,小圆子199306,0
为什么Ta们会变成废青,11月23日 19:03 来自网页    ,0,时光你玩我,0
他还只是个孩子啊，再不打死就要长大了。,11月23日 19:03 来自网页    ,1,lovexxyyy,0
他讲中国话,11月23日 19:02 来自网页    ,1,此泽,0
这些凶手还能抓到吗？烧伤，砸死，都特么不管了？我特么就不信现在抓个人这么难？政府不管是想让废青把香港人全打死吗,11月23日 19:02 来自网页    ,1,皮卡冰44224,0
大陆人也是人，内地杨学志１1日在香港旺角弥敦道亚皆老街十字路口附近被一群暴徒殴打，用铁锤、雨伞砖块石头柄等硬物袭击头部，头破血流后脑全部爆开，全身多处受伤青紫大出血后，警察用催泪弹驱逐暴徒，救起他去伊丽莎白医院治疗，只住了４天就让其出院，回到深圳还重新做手指再接手术报道一下好吗？,11月23日 19:02 来自网页    ,1,歪道男,0
愿往生西方极乐！,11月23日 18:59 来自网页    ,1,Longyue0521,0
香港的事国家的事没有闲事,11月23日 18:53 来自网页    ,0,是幸雨啊,0
罗伯走好,11月23日 18:53 来自网页    ,0,an_leocat,0
我怀疑这群废青都不知道自己谁杀了谁，或许那个凶手还自己蒙在鼓里：肯定不是我杀的。就像那群打伤人的都觉得天经地义，那群认为警察使用催泪弹就是对他们这些所谓的和平市民作出暴力行为一样。屁孩行为，都9102年了，想独立？不应该先纠正好思想读多几年书学好和平自由公正法制几个字再来说服我们吗？,11月23日 18:52 来自网页    ,1,小一啾啾,0
他的普通话真的比很多香港人的普通话好,11月23日 18:52 来自网页    ,0,Passerby_木子,0
希望香港尽快恢复和平状态，为什么总是有些毒想搞分裂，是收了多少钱呀！,11月23日 18:50 来自网页    ,0,时瑾家的笙笙,0
我讨厌香港的法律，就该让这些杀人者偿命。,11月23日 18:49 来自网页    ,0,Xiae_Well,0
看著流眼淚,11月23日 18:47 来自网页    ,1,Eambo,0
希望废青早日死亡,11月23日 18:47 来自网页    ,0,想被晴晴翻牌的缓缓,0
凶手呢？,11月23日 18:47 来自网页    ,1,社i家人的蛙,0
真的太讨厌了那些废青,11月23日 18:47 来自网页    ,0,Xiae_Well,0
重点捉拿凶手，打人时候一个个可欢了，赶紧抓到判死刑，不然不解恨,11月23日 18:46 来自网页    ,0,暗渡沙丁,0
废青杀人不用付出代价吗？,11月23日 18:44 来自网页    ,0,江湖女侠_锄禾,0
