comment,date,support_number,user
建议把蒋劲夫和坨坨关在一间房子里互殴，谁赢了就奖励和刘阳旅游一个月,11月27日 17:20 来自网页,1696,暴走小小楠
坐等，实锤，锤死他,11月27日 18:01 来自网页,208,吐槽
说实在的 我真的相信他是真的家暴了 别骂我想想 我个人看法 不然他女朋友无缘无故诬赖他干嘛,11月27日 17:21 来自网页,541,憨批离老子远点老子脾气不好
？？？,今天 07:25 来自网页    ,0,痞人森森1990
反正他得形象已经全毁了，没有哪个人会无缘无故冤枉另一个人的,今天 05:43 来自网页    ,0,lilyzbf
有点怀疑这次是不是被冤枉了，毕竟上一次承认了但这次没有，等实锤再表态。,今天 05:18 来自网页    ,0,高岭之花泷晚晚
蒋劲夫:恋爱吗 我家暴,今天 00:53 来自网页    ,0,那我吃渣渣
。,今天 00:02 来自网页    ,0,速录仙子41268
《不要和陌生人说话2》 主演：蒋劲夫,11月27日 22:34 来自网页    ,1,芈蜜Candy
先不站队,11月27日 22:03 来自网页    ,0,田田田-田包子
′,11月27日 22:02 来自网页    ,0,吴兰英1234
上次不管女的是否有前科或者jjf是否承认家暴都不该被原谅被容忍一方如果出轨那么久结束感情 家暴怎样都是不对的,11月27日 21:02 来自网页    ,0,-希希睡不够
真的他先去看看病再说吧，这不是简单家暴这算是神经质了吧这个样子。,11月27日 20:59 来自网页    ,0,max玩家
如果这样的垃圾，为什么要关注？助长他打人的骄气,11月27日 20:58 来自网页    ,0,闯爷阅山河
粉丝洗地洗得不要三观了吧，女方不是个完美无瑕的圣人就能打？JC都不允许打关在牢房里的罪犯，你们东亚劲夫算老几？用你们的白痴脑子理清楚，这世上只有一种对他人实施暴力的行为被允许，即：在自己生命受到他人威胁时为了保护自己而采取暴力。你们东亚劲夫是那样的情况吗？受害者道德不美暴力就有理？,11月27日 20:56 来自网页    ,0,村花春梅100天
有钱能使鬼推磨。 ,11月27日 20:49 来自网页    ,2,小暑柒柒
坐等，实锤🔨，锤🔨死他。,11月27日 20:47 来自网页    ,1,可耐图片
大家注意 jjf已经开始花钱系评论了 一群小号刷的评论都一模一样,11月27日 20:47 来自网页    ,0,冲锋炮火力人
个人觉得他是敢做敢当的人  这次单凭女生一面之词就下定论 是不是为时过早？,11月27日 20:45 来自网页    ,0,Ting哆哆爱吃鱼
上次不管女的是否有前科或者jjf是否承认家暴都不该被原谅被容忍一方如果出轨那么久结束感情 家暴怎样都是不对的,11月27日 20:45 来自网页    ,0,-希希睡不够
  怎么又打😂 😂 😂,11月27日 20:16 来自网页    ,0,Jane震震
希望有相关人员介入，处理此事情。不管怎样，家暴就不对。要有相关法律法规。,11月27日 19:35 来自网页    ,0,他大姨妈斯
只想弱弱的问一句，万一这次蒋真的是被冤枉的呢？你们这样岂不是把他推向深渊,11月27日 19:28 来自网页    ,0,啄泥王
那些说怎么没有其他明星被污蔑的 你说的这句话和一个巴掌拍不响一样  举个例:校园暴力需要理由？   所以不要早下定论  等结果,11月27日 19:16 来自网页    ,0,今天的砖格
路过,11月27日 19:15 来自网页    ,0,LbbDbb
还没实锤呢就不要脸了？？？,11月27日 19:06 来自网页    ,0,苏冉oba09
我就搞不懂了，连图都没一张，只看到女方自述（也不知道是真是假），评论里头的人怎么好像已经连结论都得出来了？我反正连一丝能实锤蒋劲夫家暴的东西都没看到，能不能先让子弹飞一下？另外说句实在话，现在如果要搞蒋劲夫和曾经站过他的人，最好的方法就是借这几天网上的舆论风向污蔑他家暴。,11月27日 19:02 来自网页    ,0,老杨头_67739
呵呵，一否认一堆人开始洗白了,11月27日 18:54 来自网页    ,0,修年紫玉宇
中立,11月27日 18:52 来自网页    ,0,KARIY嗯
蒋劲夫正在找人恢复聊天记录路上，大家个再等等，估计这女的是顾束洗白,11月27日 18:47 来自网页    ,0,彤言童语Audrey
哪个女友？是之前那个还是近几个月爆恋情那个洋妞？太多了……真的分不清,11月27日 18:47 来自网页    ,0,我爱马老板
很正常..像那位沱沱不也是满口谎话,11月27日 18:46 来自网页    ,0,陈独show你坐下
无论真假，家暴的人都无法原谅,11月27日 18:43 来自网页    ,0,栗原小胜
可是上次他自己承认过动手，无论理由是什么动手承认了吧,11月27日 18:43 来自网页    ,0,陈念兹
第二个女友不太真实吧，怎么不第一时间爆出来，验伤啥的，再一个夫仔干嘛老是跨国恋呢,11月27日 18:42 来自网页    ,1,王云931214
